dateObj	totalMsgsMiniMongoObj	totalMsgsDomObj	JSHeapUsedSize	totalDomNodes
24/11/2019 05:42:41	5100	13	99693728	5840
24/11/2019 05:43:42	5122	13	174238216	5855
24/11/2019 05:44:43	5134	13	81482512	5839
24/11/2019 05:45:47	5153	13	153391760	5841
24/11/2019 05:46:49	5167	13	107995032	5874
24/11/2019 05:47:59	5183	13	175481888	5842
24/11/2019 05:49:05	5198	13	101790392	5891
24/11/2019 05:50:07	5214	13	166062016	5816
24/11/2019 05:51:10	5227	13	92244600	5841
24/11/2019 05:52:17	5246	13	122583856	5814
24/11/2019 05:53:26	5264	13	151099784	5815
24/11/2019 05:54:31	5278	13	76915328	5838
24/11/2019 05:55:33	5291	13	86656200	5838
24/11/2019 05:56:38	5304	13	169726256	5868
24/11/2019 05:57:42	5320	13	115590968	5839
24/11/2019 05:58:46	5332	13	199062792	5870
24/11/2019 05:59:50	5350	13	149246864	5841
24/11/2019 06:01:01	5365	13	158251544	5869
24/11/2019 06:02:05	5379	13	110065664	5840
24/11/2019 06:03:12	5397	13	67559512	5838
24/11/2019 06:04:29	5413	13	80581264	5839
24/11/2019 06:05:34	5426	13	174046216	5869
24/11/2019 06:06:43	5442	13	139965624	5840
24/11/2019 06:07:46	5454	13	80926352	5867
24/11/2019 06:08:46	5466	13	159129720	5842
24/11/2019 06:09:47	5484	13	168630056	5869
24/11/2019 06:10:52	5499	13	192060368	5842
24/11/2019 06:11:53	5515	13	107307120	5841
24/11/2019 06:13:03	5527	13	80579096	5852
24/11/2019 06:14:10	5541	13	196887128	5870
24/11/2019 06:15:12	5552	13	117379920	5840
24/11/2019 06:16:17	5565	13	121497424	5840
24/11/2019 06:17:17	5579	13	224623336	5818
24/11/2019 06:18:25	5613	13	118323600	5819
24/11/2019 06:19:31	5625	13	101268072	5839
24/11/2019 06:20:34	5640	13	198493160	5842
24/11/2019 06:21:35	5653	13	89497576	5839
24/11/2019 06:22:36	5665	13	176992112	5842
24/11/2019 06:23:42	5678	13	110889080	5839
24/11/2019 06:24:48	5703	13	116745632	5840
24/11/2019 06:25:51	5715	13	161486776	5841
24/11/2019 06:26:57	5734	13	79074144	5880
24/11/2019 06:28:02	5782	13	105878632	5839
24/11/2019 06:29:05	5804	13	69822152	5855
24/11/2019 06:30:22	5817	13	77324040	5812
24/11/2019 06:31:25	5832	13	155323952	5842
24/11/2019 06:32:32	5844	13	55917928	5844
24/11/2019 06:33:33	5856	13	54452968	5840
24/11/2019 06:34:36	5870	13	65783784	5839
24/11/2019 06:35:37	5884	13	147620656	5840
24/11/2019 06:36:48	5896	13	125982808	5844
24/11/2019 06:37:53	5914	13	194118904	5816
24/11/2019 06:38:59	5927	13	122517560	5850
24/11/2019 06:40:00	5938	13	113337624	5839
24/11/2019 06:41:01	5950	13	86678160	5838
24/11/2019 06:42:08	5965	13	57079608	5842
24/11/2019 06:43:14	5988	13	175163208	5846
24/11/2019 06:44:27	6013	13	126289288	5840
24/11/2019 06:45:29	6024	13	184095784	5856
24/11/2019 06:46:33	6037	13	99565480	5843
24/11/2019 06:47:34	6047	13	65638152	5869
24/11/2019 06:48:37	6060	13	123382776	5814
24/11/2019 06:49:40	6075	13	197236088	5843
24/11/2019 06:50:41	6091	13	100849936	5842
24/11/2019 06:51:44	6103	13	67542008	5838
24/11/2019 06:52:49	6115	13	138794504	5853
24/11/2019 06:53:56	6129	13	207131568	5870
24/11/2019 06:55:07	6144	13	135989056	5854
24/11/2019 06:56:12	6158	13	57297824	5872
24/11/2019 06:57:15	6169	13	154744128	5840
24/11/2019 06:58:16	6184	13	187608024	5842
24/11/2019 06:59:20	6247	13	213816968	5842
24/11/2019 07:00:39	6294	13	121617616	5813
